ATAC	CTCF	H3K27ac	H3K27me3	H3K4me1	H3K4me3	H3K36me3	H3K9me3
0.2225	0.30854	0.24859	0.44813	0.17075	0.35091	0.135	0.23436
0.24005	0.38888	0.28872	0.53194	0.19509	0.45276	0.15683	1.0859
0.28611	0.34652	0.36004	0.34278	0.24866	0.37487	1.45896	0.1964
0.29813	0.34396	0.26703	1.82927	0.26062	0.42872	0.14263	0.27335
0.40779	0.36126	0.49415	0.38723	2.0368	0.50614	0.23358	0.18091
1.63288	0.30789	0.32032	0.46298	0.45218	0.39363	0.22286	0.2234
0.61117	0.34906	1.1059	0.39896	4.92565	1.06885	0.2659	0.17169
0.22206	0.29521	0.25457	0.69578	0.19641	0.5047	0.23887	4.90405
0.64573	0.39855	0.68925	0.38318	1.23973	0.50632	3.24877	0.19854
0.56188	2.36246	0.33711	0.47532	0.3113	0.42439	0.26578	0.30346
0.49826	0.40002	1.82042	0.45266	0.9657	0.69069	0.28986	0.29272
0.37555	0.24417	0.24071	6.83464	0.43557	0.67427	0.15111	0.52087
1.15926	0.61103	1.09872	0.52247	1.55356	4.0501	0.21773	0.21344
2.38046	5.75321	0.3046	0.47782	0.41185	0.41623	0.16749	0.21738
1.09373	0.51141	5.92747	0.40178	0.7164	7.54646	0.21017	0.2072
5.67964	0.69233	7.40748	0.36813	0.31663	9.10437	0.17318	0.19886
2.5258	0.47699	5.10443	0.48762	6.18865	1.14287	0.3146	0.20057
0.89089	0.52718	2.82467	0.39479	4.8477	1.22112	2.37191	0.24946
1.20022	0.6175	0.47467	7.25002	2.65077	3.03268	0.19047	0.51151
6.22627	0.57767	1.15946	0.36143	0.41052	4.19846	0.14244	0.16037
0.71595	0.45843	6.10291	0.4028	5.44012	3.67694	0.6115	0.19178
4.95767	0.59884	4.03225	0.302	1.49737	1.07545	0.4991	0.19827
1.08151	4.15493	1.13667	0.50888	3.13106	0.84846	0.7887	0.19572
5.5616	5.37783	5.96944	0.43321	1.48162	6.67016	0.24813	0.22444
4.46063	7.34152	0.83751	0.71936	1.54797	2.11729	0.2067	0.23746
